config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,336917806490.8111,377980732651.0112,427315328340.9102,506526779946.96,581856835099.0916
prod_tot,Energy production,fuel,369332942352.6773,316329145604.0012,258771306944.8777,204879313298.21713,180559478999.2937
prod_tot,Energy production,marginal,282419670974.59406,278223941786.0709,252633074325.94827,202330230564.0184,176018888873.88397
sto_tot,Storage,capital,43156793135.211395,45521208020.40987,45926977754.30032,47071192062.93369,48847671457.21291
tran_tot,Transmission,capital,12973694785.248816,13165505609.400755,14542572835.523336,17139601792.736105,20073737683.46571
tran_tot,Transmission,marginal,566761574.3600355,521692851.6220462,498843891.8160103,1001688818.0908961,3605972766.5412154
distr_tot,Distribution,capital,41207115383.76188,43194115699.57038,48562118829.501465,54737655949.13879,58017758136.467255
net_imp_tot,Net_Imports,H2,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0
prod_be,Energy production,capital,5118631477.3392,5170847884.992987,5001721374.191915,5794458587.714567,5919951286.310842
prod_be,Energy production,fuel,2621581311.9408956,2827353435.8689623,2957219890.6103387,3470562495.0575604,3709848362.835086
prod_be,Energy production,marginal,8411129354.76444,8576959579.992609,8354619361.557113,7629978757.262422,7402415944.70202
sto_be,Storage,capital,174936546.74229935,175258263.40864503,176584297.6027548,178107525.52794883,180819632.73943
distr_be,Distribution,capital,710520466.8610563,793929131.1388026,908359775.5410466,1073791150.0951562,1149046613.7713046
net_imp_be,Net_Imports,H2,-47181428.84807989,-60032714.63763729,-29151084.714397363,9368123.301475227,20082854.736305423
net_imp_be,Net_Imports,elec,425381395.2805872,838697257.9713769,1321313004.0127687,1950635378.895275,2323836706.0826187
net_imp_be,Net_Imports,gas,-872273267.7253999,-798084872.66687,-708272497.5982829,-514767446.50372475,-357845810.33924913
prod_fl,Energy production,capital,5118631477.3392,5170847884.992987,5001721374.191915,5794458587.714567,5919951286.310842
prod_fl,Energy production,fuel,2621581311.9408956,2827353435.8689623,2957219890.6103387,3470562495.0575604,3709848362.835086
prod_fl,Energy production,marginal,8411129354.76444,8576959579.992609,8354619361.557113,7629978757.262422,7402415944.70202
sto_fl,Storage,capital,174936546.74229935,175258263.40864503,176584297.6027548,178107525.52794883,180819632.73943
distr_fl,Distribution,capital,710520466.8610563,793929131.1388026,908359775.5410466,1073791150.0951562,1149046613.7713046
net_imp_fl,Net_Imports,H2,-47181428.84807989,-60032714.63763729,-29151084.714397363,9368123.301475227,20082854.736305423
net_imp_fl,Net_Imports,elec,425381395.2805872,838697257.9713769,1321313004.0127687,1950635378.895275,2323836706.0826187
net_imp_fl,Net_Imports,gas,-872273267.7253999,-798084872.66687,-708272497.5982829,-514767446.50372475,-357845810.33924913
prod_eu27,Energy production,capital,271965977626.81503,300439699379.30035,334414307713.26416,398931015814.4949,461091909745.1758
prod_eu27,Energy production,fuel,77560733713.13927,71906954546.4748,59769453134.30424,45216127149.18081,73600380140.16306
prod_eu27,Energy production,marginal,199725547409.00623,197613770281.60486,180999038782.53522,146788168168.8641,132314034779.41211
sto_eu27,Storage,capital,29561266736.90114,30002954266.946354,32076794115.880474,33301599580.188942,34585793383.04061
distr_eu27,Distribution,capital,32257300702.16356,33783592790.233112,37638087327.10209,42540311940.09278,45297587916.39768
net_imp_eu27,Net_Imports,H2,-27677176.40874913,-76170030.0264046,-135719084.9751866,-251214151.6651973,-277674247.94369876
net_imp_eu27,Net_Imports,elec,-3784578553.7392654,-4193276685.5842266,-4333184360.322056,-5670445326.281109,-5840150226.575565
net_imp_eu27,Net_Imports,gas,-1181110959.3314707,-1187098639.8351655,-1177954240.8829658,-774651795.6231016,-499917614.00880235
