config,cost_segment,capital,fuel,marginal
2030_tot,Distribution,41104205234.15268,0.0,0.0
2030_tot,Energy production,336778489339.7879,369720615299.07007,283547009731.4912
2030_tot,Storage,43259397711.74634,0.0,0.0
2030_tot,Transmission,12980523572.4602,0.0,568754065.125608
2035_tot,Distribution,42763607919.016075,0.0,0.0
2035_tot,Energy production,375027294824.6411,318322623384.1904,282253704308.07306
2035_tot,Storage,44341597652.11609,0.0,0.0
2035_tot,Transmission,13156954644.553535,0.0,536016698.37010676
2040_tot,Distribution,47754362680.34463,0.0,0.0
2040_tot,Energy production,423108287060.1126,262557911287.90253,259349522553.22696
2040_tot,Storage,45834274786.32896,0.0,0.0
2040_tot,Transmission,14380813625.08764,0.0,516154590.5782735
2045_tot,Distribution,53809187413.64707,0.0,0.0
2045_tot,Energy production,511038257494.0981,214532325629.1698,208981725931.00916
2045_tot,Storage,47736660175.26601,0.0,0.0
2045_tot,Transmission,17246495556.02247,0.0,1136012373.392133
2050_tot,Distribution,56519513919.8837,0.0,0.0
2050_tot,Energy production,591986546857.7926,199353794231.58716,189829602142.27682
2050_tot,Storage,49398362981.878426,0.0,0.0
2050_tot,Transmission,19389104885.059834,0.0,3470858894.176153
2030_be,Distribution,707165549.0483351,0.0,0.0
2030_be,Energy production,5121653388.651378,3128006647.0925717,8448463623.361022
2030_be,Storage,175317480.64912742,0.0,0.0
2035_be,Distribution,783032899.5695541,0.0,0.0
2035_be,Energy production,5165373933.811088,2901137909.6410227,8615581223.872936
2035_be,Storage,175652625.75270614,0.0,0.0
2040_be,Distribution,889817284.3437132,0.0,0.0
2040_be,Energy production,4952428368.779195,2464300591.8537993,8341942446.555253
2040_be,Storage,176878428.37630057,0.0,0.0
2045_be,Distribution,1054862991.8018355,0.0,0.0
2045_be,Energy production,5784863485.636791,1920238233.770989,7548421817.533096
2045_be,Storage,179783236.04705015,0.0,0.0
2050_be,Distribution,1105618382.40054,0.0,0.0
2050_be,Energy production,6109327727.383908,3011960505.908736,7340524141.797701
2050_be,Storage,191236788.8757881,0.0,0.0
2030_fl,Distribution,707165549.0483351,0.0,0.0
2030_fl,Energy production,5121653388.651378,3128006647.0925717,8448463623.361022
2030_fl,Storage,175317480.64912742,0.0,0.0
2035_fl,Distribution,783032899.5695541,0.0,0.0
2035_fl,Energy production,5165373933.811088,2901137909.6410227,8615581223.872936
2035_fl,Storage,175652625.75270614,0.0,0.0
2040_fl,Distribution,889817284.3437132,0.0,0.0
2040_fl,Energy production,4952428368.779195,2464300591.8537993,8341942446.555253
2040_fl,Storage,176878428.37630057,0.0,0.0
2045_fl,Distribution,1054862991.8018355,0.0,0.0
2045_fl,Energy production,5784863485.636791,1920238233.770989,7548421817.533096
2045_fl,Storage,179783236.04705015,0.0,0.0
2050_fl,Distribution,1105618382.40054,0.0,0.0
2050_fl,Energy production,6109327727.383908,3011960505.908736,7340524141.797701
2050_fl,Storage,191236788.8757881,0.0,0.0
2030_eu27,Distribution,32172462949.358673,0.0,0.0
2030_eu27,Energy production,271816045405.32144,82853944535.45052,199913740491.9865
2030_eu27,Storage,29578950976.051758,0.0,0.0
2035_eu27,Distribution,33421296066.77949,0.0,0.0
2035_eu27,Energy production,298571682808.9147,78971379548.38255,198941012494.80817
2035_eu27,Storage,30114773885.041073,0.0,0.0
2040_eu27,Distribution,36988402605.60357,0.0,0.0
2040_eu27,Energy production,331836873512.0201,67843420212.73066,181380378606.6304
2040_eu27,Storage,32348314875.18072,0.0,0.0
2045_eu27,Distribution,41750268004.962456,0.0,0.0
2045_eu27,Energy production,403143189526.3368,56459329523.29799,141729516680.05417
2045_eu27,Storage,33781691176.163017,0.0,0.0
2050_eu27,Distribution,44026679099.00262,0.0,0.0
2050_eu27,Energy production,464547477555.4473,109835165271.8266,126280987623.6973
2050_eu27,Storage,34935345414.46009,0.0,0.0
